electron mobility	Ar mobili	ar2 mobi	elediff 	ar diffusio	ar2 diffusio	ar*diffusio
1.71826923076923E+024	3.75E+021	4.5E+021	2.94038461538475E+023	9.703125E+019	1.164375E+020	7.6082451923E+021
1.71826923076923E+024	3.75E+021	4.5E+021	1.16057692307693E+024	9.703125E+019	1.164375E+020	3.0029927884625E+022
1.71826923076923E+024	3.75E+021	4.5E+021	9.5365384615385E+023	9.703125E+019	1.164375E+020	2.4675793269225E+022
1.25865384615385E+024	3.75E+021	4.5E+021	8.5375E+023	9.703125E+019	1.164375E+020	2.209078125E+022
1.05096153846155E+024	3.75E+021	4.5E+021	7.98365384615375E+023	9.703125E+019	1.164375E+020	2.0657704326925E+022
9.93269230769225E+023	3.75E+021	4.5E+021	7.7471153846155E+023	9.703125E+019	1.164375E+020	2.00456610577E+022
9.9134615384615E+023	3.75E+021	4.5E+021	7.66634615384625E+023	9.703125E+019	1.164375E+020	1.9836670673075E+022
1.00096153846155E+024	3.75E+021	4.5E+021	7.635576923077E+023	9.703125E+019	1.164375E+020	1.975705528845E+022
1.0076923076923E+024	3.75E+021	4.5E+021	7.61923076923075E+023	9.703125E+019	1.164375E+020	1.9714759615375E+022
1.01153846153848E+024	3.75E+021	4.5E+021	7.60673076923075E+023	9.703125E+019	1.164375E+020	1.9682415865375E+022
1.0125E+024	3.75E+021	4.5E+021	7.59038461538475E+023	9.703125E+019	1.164375E+020	1.96401201923E+022
1.01057692307693E+024	3.75E+021	4.5E+021	7.5759615384615E+023	9.703125E+019	1.164375E+020	1.9602800480775E+022
1.0076923076923E+024	3.75E+021	4.5E+021	7.560576923077E+023	9.703125E+019	1.164375E+020	1.956299278845E+022
1.00384615384615E+024	3.75E+021	4.5E+021	7.54326923076925E+023	9.703125E+019	1.164375E+020	1.9518209134625E+022
9.99038461538475E+023	3.75E+021	4.5E+021	7.526923076923E+023	9.703125E+019	1.164375E+020	1.947591346155E+022
9.93269230769225E+023	3.75E+021	4.5E+021	7.5096153846155E+023	9.703125E+019	1.164375E+020	1.94311298077E+022
9.875E+023	3.75E+021	4.5E+021	7.49134615384625E+023	9.703125E+019	1.164375E+020	1.9383858173075E+022
9.80769230769225E+023	3.75E+021	4.5E+021	7.4740384615385E+023	9.703125E+019	1.164375E+020	1.9339074519225E+022
9.75E+023	3.75E+021	4.5E+021	7.45673076923075E+023	9.703125E+019	1.164375E+020	1.9294290865375E+022
9.69230769230775E+023	3.75E+021	4.5E+021	7.4375E+023	9.703125E+019	1.164375E+020	1.924453125E+022
9.625E+023	3.75E+021	4.5E+021	7.42019230769225E+023	9.703125E+019	1.164375E+020	1.919974759615E+022
9.56730769230775E+023	3.75E+021	4.5E+021	7.40384615384625E+023	9.703125E+019	1.164375E+020	1.9157451923075E+022
9.50865384615375E+023	3.75E+021	4.5E+021	7.3875E+023	9.703125E+019	1.164375E+020	1.911515625E+022
9.45E+023	3.75E+021	4.5E+021	7.37115384615375E+023	9.703125E+019	1.164375E+020	1.9072860576925E+022
9.39326923076925E+023	3.75E+021	4.5E+021	7.35480769230775E+023	9.703125E+019	1.164375E+020	1.903056490385E+022
9.3375E+023	3.75E+021	4.5E+021	7.339423076923E+023	9.703125E+019	1.164375E+020	1.899075721155E+022
9.28365384615375E+023	3.75E+021	4.5E+021	7.323076923077E+023	9.703125E+019	1.164375E+020	1.894846153845E+022
9.23076923076925E+023	3.75E+021	4.5E+021	7.30865384615375E+023	9.703125E+019	1.164375E+020	1.8911141826925E+022
9.17980769230775E+023	3.75E+021	4.5E+021	7.29326923076925E+023	9.703125E+019	1.164375E+020	1.8871334134625E+022
9.12980769230775E+023	3.75E+021	4.5E+021	7.27884615384625E+023	9.703125E+019	1.164375E+020	1.8834014423075E+022
9.08173076923075E+023	3.75E+021	4.5E+021	7.26538461538475E+023	9.703125E+019	1.164375E+020	1.87991826923E+022
9.035576923077E+023	3.75E+021	4.5E+021	7.2509615384615E+023	9.703125E+019	1.164375E+020	1.8761862980775E+022
8.989423076923E+023	3.75E+021	4.5E+021	7.2375E+023	9.703125E+019	1.164375E+020	1.872703125E+022
8.9471153846155E+023	3.75E+021	4.5E+021	7.225E+023	9.703125E+019	1.164375E+020	1.86946875E+022
8.90384615384625E+023	3.75E+021	4.5E+021	7.2125E+023	9.703125E+019	1.164375E+020	1.866234375E+022
8.8625E+023	3.75E+021	4.5E+021	7.1990384615385E+023	9.703125E+019	1.164375E+020	1.8627512019225E+022
8.823076923077E+023	3.75E+021	4.5E+021	7.1865384615385E+023	9.703125E+019	1.164375E+020	1.8595168269225E+022
8.78365384615375E+023	3.75E+021	4.5E+021	7.175E+023	9.703125E+019	1.164375E+020	1.85653125E+022
8.74615384615375E+023	3.75E+021	4.5E+021	7.1625E+023	9.703125E+019	1.164375E+020	1.853296875E+022
8.7096153846155E+023	3.75E+021	4.5E+021	7.1509615384615E+023	9.703125E+019	1.164375E+020	1.8503112980775E+022
8.6740384615385E+023	3.75E+021	4.5E+021	7.139423076923E+023	9.703125E+019	1.164375E+020	1.847325721155E+022
8.639423076923E+023	3.75E+021	4.5E+021	7.12788461538475E+023	9.703125E+019	1.164375E+020	1.84434014423E+022
8.60576923076925E+023	3.75E+021	4.5E+021	7.11730769230775E+023	9.703125E+019	1.164375E+020	1.841603365385E+022
8.5740384615385E+023	3.75E+021	4.5E+021	7.10673076923075E+023	9.703125E+019	1.164375E+020	1.8388665865375E+022
8.54230769230775E+023	3.75E+021	4.5E+021	7.09519230769225E+023	9.703125E+019	1.164375E+020	1.835881009615E+022
8.5115384615385E+023	3.75E+021	4.5E+021	7.085576923077E+023	9.703125E+019	1.164375E+020	1.833393028845E+022
8.48173076923075E+023	3.75E+021	4.5E+021	7.075E+023	9.703125E+019	1.164375E+020	1.83065625E+022
8.45288461538475E+023	3.75E+021	4.5E+021	7.064423076923E+023	9.703125E+019	1.164375E+020	1.827919471155E+022
8.425E+023	3.75E+021	4.5E+021	7.05480769230775E+023	9.703125E+019	1.164375E+020	1.825431490385E+022
8.398076923077E+023	3.75E+021	4.5E+021	7.04519230769225E+023	9.703125E+019	1.164375E+020	1.822943509615E+022
8.37115384615375E+023	3.75E+021	4.5E+021	7.0346153846155E+023	9.703125E+019	1.164375E+020	1.82020673077E+022
8.34519230769225E+023	3.75E+021	4.5E+021	7.0259615384615E+023	9.703125E+019	1.164375E+020	1.8179675480775E+022
8.32019230769225E+023	3.75E+021	4.5E+021	7.01634615384625E+023	9.703125E+019	1.164375E+020	1.8154795673075E+022
8.29519230769225E+023	3.75E+021	4.5E+021	7.00673076923075E+023	9.703125E+019	1.164375E+020	1.8129915865375E+022
8.2721153846155E+023	3.75E+021	4.5E+021	6.998076923077E+023	9.703125E+019	1.164375E+020	1.810752403845E+022
8.248076923077E+023	3.75E+021	4.5E+021	6.9884615384615E+023	9.703125E+019	1.164375E+020	1.8082644230775E+022
8.2259615384615E+023	3.75E+021	4.5E+021	6.97980769230775E+023	9.703125E+019	1.164375E+020	1.806025240385E+022
8.20384615384625E+023	3.75E+021	4.5E+021	6.97115384615375E+023	9.703125E+019	1.164375E+020	1.8037860576925E+022
8.18269230769225E+023	3.75E+021	4.5E+021	6.9625E+023	9.703125E+019	1.164375E+020	1.801546875E+022
8.1615384615385E+023	3.75E+021	4.5E+021	6.95384615384625E+023	9.703125E+019	1.164375E+020	1.7993076923075E+022
