ELECTRON MOBI	AR+ MOBILITY	ar2+mobility	ELECTRON DIF	AR+DIFFUSION	ar2+ diffusion	Ar* Diffusion	ionization	excitation	Dimer form  	recom	excited ionization
7.14E-02	1.65E-04	1.96E-04	1.22E-01	4.27E-06	5.07E-06	4.27E-06	0	0	2.50E-43	3.00E-14	0
7.14E-02	1.65E-04	1.96E-04	4.80E-01	4.27E-06	5.07E-06	4.27E-06	0	0	2.50E-43	3.00E-14	7.50E-19
7.14E-02	1.65E-04	1.96E-04	3.97E-01	4.27E-06	5.07E-06	4.27E-06	0	4.85E-25	2.50E-43	3.00E-14	4.07E-18
5.23E-02	1.63E-04	1.93E-04	3.55E-01	4.21E-06	5.00E-06	4.21E-06	0	4.58E-21	2.50E-43	3.00E-14	9.51E-18
4.37E-02	1.60E-04	1.90E-04	3.32E-01	4.14E-06	4.92E-06	4.14E-06	0	1.30E-19	2.50E-43	3.00E-14	1.70E-17
4.13E-02	1.57E-04	1.87E-04	3.22E-01	4.07E-06	4.83E-06	4.07E-06	1.88E-29	6.09E-19	2.50E-43	3.00E-14	2.65E-17
4.12E-02	1.55E-04	1.84E-04	3.19E-01	4.00E-06	4.75E-06	4.00E-06	2.09E-27	1.45E-18	2.50E-43	3.00E-14	3.79E-17
4.16E-02	1.52E-04	1.80E-04	3.18E-01	3.93E-06	4.67E-06	3.93E-06	5.72E-26	2.57E-18	2.50E-43	3.00E-14	5.11E-17
4.19E-02	1.49E-04	1.77E-04	3.17E-01	3.86E-06	4.58E-06	3.86E-06	6.78E-25	3.92E-18	2.50E-43	3.00E-14	6.61E-17
4.21E-02	1.47E-04	1.74E-04	3.16E-01	3.79E-06	4.50E-06	3.79E-06	4.66E-24	5.45E-18	2.50E-43	3.00E-14	8.29E-17
4.21E-02	1.44E-04	1.71E-04	3.16E-01	3.72E-06	4.42E-06	3.72E-06	2.26E-23	7.15E-18	2.50E-43	3.00E-14	1.01E-16
4.20E-02	1.41E-04	1.68E-04	3.15E-01	3.66E-06	4.35E-06	3.66E-06	8.06E-23	9.03E-18	2.50E-43	3.00E-14	1.21E-16
4.19E-02	1.39E-04	1.65E-04	3.14E-01	3.59E-06	4.26E-06	3.59E-06	2.35E-22	1.11E-17	2.50E-43	3.00E-14	1.43E-16
4.18E-02	1.36E-04	1.62E-04	3.14E-01	3.52E-06	4.18E-06	3.52E-06	5.89E-22	1.32E-17	2.50E-43	3.00E-14	1.66E-16
4.15E-02	1.35E-04	1.60E-04	3.13E-01	3.48E-06	4.13E-06	3.48E-06	1.31E-21	1.56E-17	2.50E-43	3.00E-14	1.91E-16
4.13E-02	1.35E-04	1.60E-04	3.12E-01	3.48E-06	4.13E-06	3.48E-06	2.62E-21	1.81E-17	2.50E-43	3.00E-14	2.17E-16
4.11E-02	1.34E-04	1.60E-04	3.12E-01	3.48E-06	4.13E-06	3.48E-06	4.86E-21	2.07E-17	2.50E-43	3.00E-14	2.44E-16
4.08E-02	1.34E-04	1.59E-04	3.11E-01	3.46E-06	4.11E-06	3.46E-06	8.44E-21	2.34E-17	2.50E-43	3.00E-14	2.73E-16
4.06E-02	1.33E-04	1.58E-04	3.10E-01	3.45E-06	4.10E-06	3.45E-06	1.39E-20	2.63E-17	2.50E-43	3.00E-14	3.03E-16
4.03E-02	1.33E-04	1.58E-04	3.09E-01	3.43E-06	4.07E-06	3.43E-06	2.19E-20	2.93E-17	2.50E-43	3.00E-14	3.34E-16
4.00E-02	1.32E-04	1.57E-04	3.09E-01	3.42E-06	4.06E-06	3.42E-06	3.29E-20	3.25E-17	2.50E-43	3.00E-14	3.67E-16
3.98E-02	1.32E-04	1.56E-04	3.08E-01	3.41E-06	4.05E-06	3.41E-06	4.79E-20	3.58E-17	2.50E-43	3.00E-14	4.01E-16
3.96E-02	1.31E-04	1.56E-04	3.07E-01	3.39E-06	4.03E-06	3.39E-06	6.76E-20	3.92E-17	2.50E-43	3.00E-14	4.36E-16
3.93E-02	1.31E-04	1.55E-04	3.07E-01	3.38E-06	4.01E-06	3.38E-06	9.30E-20	4.27E-17	2.50E-43	3.00E-14	4.72E-16
3.91E-02	1.30E-04	1.54E-04	3.06E-01	3.36E-06	3.99E-06	3.36E-06	1.25E-19	4.63E-17	2.50E-43	3.00E-14	5.09E-16
3.88E-02	1.29E-04	1.54E-04	3.05E-01	3.34E-06	3.97E-06	3.34E-06	1.65E-19	5.01E-17	2.50E-43	3.00E-14	5.47E-16
3.86E-02	1.29E-04	1.53E-04	3.05E-01	3.33E-06	3.95E-06	3.33E-06	2.13E-19	5.40E-17	2.50E-43	3.00E-14	5.86E-16
3.84E-02	1.28E-04	1.52E-04	3.04E-01	3.32E-06	3.94E-06	3.32E-06	2.71E-19	5.79E-17	2.50E-43	3.00E-14	6.27E-16
3.82E-02	1.28E-04	1.52E-04	3.03E-01	3.30E-06	3.92E-06	3.30E-06	3.40E-19	6.20E-17	2.50E-43	3.00E-14	6.68E-16
3.80E-02	1.27E-04	1.51E-04	3.03E-01	3.29E-06	3.91E-06	3.29E-06	4.21E-19	6.62E-17	2.50E-43	3.00E-14	7.10E-16
3.78E-02	1.27E-04	1.51E-04	3.02E-01	3.28E-06	3.90E-06	3.28E-06	5.15E-19	7.05E-17	2.50E-43	3.00E-14	7.53E-16
3.76E-02	1.27E-04	1.50E-04	3.02E-01	3.27E-06	3.88E-06	3.27E-06	6.23E-19	7.48E-17	2.50E-43	3.00E-14	7.97E-16
3.74E-02	1.26E-04	1.50E-04	3.01E-01	3.27E-06	3.88E-06	3.27E-06	7.46E-19	7.93E-17	2.50E-43	3.00E-14	8.42E-16
