ELECTRON MOBI	AR+ MOBILITY	ar2+mobility	ELECTRON DIF	AR+DIFFUSION	ar2+ diffusion	Ar* Diffusion	ionization	excitation	Dimer form  	recom	excited ionization
0.120207668	0.001239009	0.000876112	0.500798722	3.21E-05	4.54E-05	3.21E-05	0.000000	0.000000	2.50E-43	3E-14	0
0.120207668	0.001219063	0.000862008	0.479233227	3.16E-05	4.47E-05	3.16E-05	0.000000	0.000000	2.50E-43	3E-14	7.50E-19
0.071365815	0.001199118	0.000847904	0.396086262	3.10E-05	4.38E-05	3.10E-05	0.000000	4.85E-25	2.50E-43	3E-14	4.07E-18
0.052276358	0.001179172	0.000833801	0.354592652	3.05E-05	4.31E-05	3.05E-05	0.000000	4.58E-21	2.50E-43	3E-14	9.51E-18
0.04365016	0.001159226	0.000819697	0.331589457	3.00E-05	4.24E-05	3.00E-05	0.000000	1.30E-19	2.50E-43	3E-14	1.70E-17
0.041253994	0.00113928	0.000805593	0.321765176	2.95E-05	4.17E-05	2.95E-05	1.88E-29	6.09E-19	2.50E-43	3E-14	2.65E-17
0.041174121	0.001119334	0.000791489	0.318370607	2.90E-05	4.10E-05	2.90E-05	2.09E-27	1.45E-18	2.50E-43	3E-14	3.79E-17
0.041573482	0.001099388	0.000777385	0.317132588	2.85E-05	4.03E-05	2.85E-05	5.72E-26	2.57E-18	2.50E-43	3E-14	5.11E-17
0.041853035	0.001079442	0.000763281	0.316453674	2.79E-05	3.95E-05	2.79E-05	6.78E-25	3.92E-18	2.50E-43	3E-14	6.61E-17
0.04201278	0.001059496	0.000749177	0.315894569	2.74E-05	3.87E-05	2.74E-05	4.66E-24	5.45E-18	2.50E-43	3E-14	8.29E-17
0.042052716	0.001039551	0.000735074	0.315255591	2.69E-05	3.80E-05	2.69E-05	2.26E-23	7.15E-18	2.50E-43	3E-14	1.01E-16
0.04201278	0.001020199	0.00072139	0.31465655	2.64E-05	3.73E-05	2.64E-05	8.06E-23	9.03E-18	2.50E-43	3E-14	1.21E-16
0.041853035	0.00100962	0.000713909	0.314017572	2.61E-05	3.69E-05	2.61E-05	2.35E-22	1.11E-17	2.50E-43	3E-14	1.43E-16
0.041693291	0.00100962	0.000713909	0.313338658	2.61E-05	3.69E-05	2.61E-05	5.89E-22	1.32E-17	2.50E-43	3E-14	1.66E-16
0.04149361	0.001007433	0.000712363	0.312619808	2.61E-05	3.69E-05	2.61E-05	1.31E-21	1.56E-17	2.50E-43	3E-14	1.91E-16
0.041253994	0.001003073	0.00070928	0.311900958	2.60E-05	3.68E-05	2.60E-05	2.62E-21	1.81E-17	2.50E-43	3E-14	2.17E-16
0.041014377	0.000999097	0.000706468	0.311142173	2.59E-05	3.66E-05	2.59E-05	4.86E-21	2.07E-17	2.50E-43	3E-14	2.44E-16
0.04077476	0.000995232	0.000703735	0.310423323	2.58E-05	3.65E-05	2.58E-05	8.44E-21	2.34E-17	2.50E-43	3E-14	2.73E-16
0.040495208	0.000991298	0.000700954	0.309704473	2.57E-05	3.63E-05	2.57E-05	1.39E-20	2.63E-17	2.50E-43	3E-14	3.03E-16
0.040255591	0.00098735	0.000698162	0.308985623	2.56E-05	3.62E-05	2.56E-05	2.19E-20	2.93E-17	2.50E-43	3E-14	3.34E-16
0.039976038	0.000983766	0.000695628	0.308226837	2.55E-05	3.61E-05	2.55E-05	3.29E-20	3.25E-17	2.50E-43	3E-14	3.67E-16
0.039740415	0.000980213	0.000693115	0.307507987	2.54E-05	3.59E-05	2.54E-05	4.79E-20	3.58E-17	2.50E-43	3E-14	4.01E-16
0.039496805	0.000975063	0.000689474	0.306829073	2.52E-05	3.56E-05	2.52E-05	6.76E-20	3.92E-17	2.50E-43	3E-14	4.36E-16
0.039253195	0.00096951	0.000685547	0.30615016	2.51E-05	3.55E-05	2.51E-05	9.30E-20	4.27E-17	2.50E-43	3E-14	4.72E-16
0.039017572	0.000964154	0.00068176	0.305471246	2.50E-05	3.54E-05	2.50E-05	1.25E-19	4.63E-17	2.50E-43	3E-14	5.09E-16
